SC,JP,EN,VN,Comment
自0]对我来说魔法是最有趣的呢。,自0]私にとって魔法が一番面白いよ。,"自0]Magic is the most fun thing there is, in my opinion.","自0]Với tôi mà nói, ma pháp là cái lý thú nhất đó.",
敌61]是怎样的呢，很想亲眼看看啊,敌61]どんなの？見たい！,敌61]What's it like? Can I see it?,"敌61]Là như thế nào vậy, muốn tận mắt xem lắm cơ.",
自0]我可以让你看的喔，不过有一个条件。,自0]構わないが、条件付きよ。,"自0]OK, but on one condition.","自0]Tôi có thể cho cô xem được đấy, nhưng có một điều kiện.",
敌62]什么条件？,敌62]なんのジョウケン？,敌62]What's that?,敌62]Điều kiện gì?,
自2]看完了要清理现场啊，没发现走廊被你弄得这么乱吗？,自2]終わったら現場を掃除する。廊下が散らかってるのを気付かなかった？,自2]You have to clean up afterwards. The hallway is really messy now.,"自2]Xem xong rồi phải dọn dẹp hiện trường nhé, không nhận thấy hành lang bị cô nghịch cho loạn như vậy à?",
敌60]原来是打扫卫生吗，叫咲夜就好了。,敌60]おそうじか、咲夜に任せばいいの。,敌60]Clean up? Call Sakuya.,"敌60]Té ra là quét dọn vệ sinh sao, gọi Sakuya là xong rồi.",
自2]那样可不行，这是给你的惩罚。,自2]ダメ。これは貴女へのお仕置きよ。,"自2]No, it's your punishment.","自2]Sao mà vậy được, đây là sự trừng phạt cho cô.",
MUSIC,MUSIC,MUSIC,MUSIC,
敌61]总觉得光看不好玩，我也来做点什么吧。,敌61]見るだけじゃつまんない。あたしもなんかやる！,"敌61]I feel bored just standing here watching it! I wanna do something, too.",敌61]Ngó không thì chán ngắt thế nào ấy! Ta cũng làm chút gì đó đây.,
自1]喂，别弄出太大动静啊。,自1]こら、大騒ぎにするな。,自1]Just keep quiet.,"自1]Này, chớ quậy gây động tính lớn quá đó.",
PAUSE,PAUSE,PAUSE,PAUSE,
敌60]魔法原来就是这样的啊。,敌60]マホウってそうなんだ。,"敌60]So, this is magic.",敌60]Hóa ra ma pháp chính là như vậy à.,
自1]咳咳……看来得回去补充点营养了呢……,自1]ゴホゴホ…栄養を補充しよう…,自1]Cough... It looks like it's time to go back and get some nutrition...,自1]Khụ khụ… Xem ra cần phải trở về bổ sung chút dinh dưỡng rồi đây…,
